clean_name,target_account_name
ATM WITHDRAWAL,Cash and equivalents
CASH WITHDRAWAL,Cash and equivalents
ATM CASH,Cash and equivalents
CASH DEPOSIT,Cash and equivalents
ATM DEBIT,Cash and equivalents
CASH AT HAND,Cash and equivalents
CASH TRANSACTION,Cash and equivalents
ATM@SBI,Cash and equivalents
ATM@HDFC,Cash and equivalents
ATM@ICICI,Cash and equivalents
ATM@AXIS,Cash and equivalents
ATM@KOTAK,Cash and equivalents
CASH RECEIVED,Cash and equivalents
CASH PAID,Cash and equivalents
PETTY CASH,Cash and equivalents
ATM USAGE,Cash and equivalents
CASH BALANCE,Cash and equivalents
COUNTER WITHDRAWAL,Cash and equivalents
TELLER CASH,Cash and equivalents
BRANCH CASH,Cash and equivalents
CURRENCY WITHDRAWAL,Cash and equivalents
CASH ADVANCE,Cash and equivalents
SELF CHEQUE,Cash and equivalents
CASH TRANSFER,Cash and equivalents
ZOMATO,Food & Dining
SWIGGY,Food & Dining
MAGICPIN,Food & Dining
EAZYDINER,Food & Dining
DOMINOS,Food & Dining
PIZZA HUT,Food & Dining
MCDONALDS,Food & Dining
KFC,Food & Dining
SUBWAY INDIA,Food & Dining
STARBUCKS,Food & Dining
CAFE COFFEE DAY,Food & Dining
CHAAYOS,Food & Dining
BARBEQUE NATION,Food & Dining
FOOD DELIVERY,Food & Dining
RESTAURANT,Food & Dining
DINING OUT,Food & Dining
UPI/ZOMATO,Food & Dining
UPI/SWIGGY,Food & Dining
POS RESTAURANT,Food & Dining
HOTEL DINING,Food & Dining
MESS FEES,Food & Dining
CANTEEN PAYMENT,Food & Dining
EATCLUB,Food & Dining
BOX8,Food & Dining
FRESHMENU,Food & Dining
QUICK BITE,Food & Dining
FAST FOOD,Food & Dining
FOOD ORDER,Food & Dining
OLA,Travel & Transport
UBER,Travel & Transport
RAPIDO,Travel & Transport
MERU CABS,Travel & Transport
IRCTC,Travel & Transport
METRO CARD,Travel & Transport
BUS TICKET,Travel & Transport
AUTO FARE,Travel & Transport
INDIGO,Travel & Transport
AIR INDIA,Travel & Transport
SPICEJET,Travel & Transport
VISTARA,Travel & Transport
AKASA AIR,Travel & Transport
MAKEMYTRIP,Travel & Transport
GOIBIBO,Travel & Transport
REDBUS,Travel & Transport
FASTAG,Travel & Transport
TOLL PAYMENT,Travel & Transport
PETROL PUMP,Travel & Transport
HPCL,Travel & Transport
BPCL,Travel & Transport
INDIAN OIL,Travel & Transport
UPI/OLA,Travel & Transport
UPI/UBER,Travel & Transport
UPI/RAPIDO,Travel & Transport
CAB BOOKING,Travel & Transport
FUEL STATION,Travel & Transport
ABHIBUS,Travel & Transport
OLA ELECTRIC,Travel & Transport
YULU RIDE,Travel & Transport
PARKING CHARGES,Travel & Transport
TRAIN TICKET,Travel & Transport
RENT PAYMENT,Housing & Rent
HOUSE RENT,Housing & Rent
MONTHLY RENT,Housing & Rent
IMPS RENT,Housing & Rent
NEFT RENT,Housing & Rent
UPI RENT,Housing & Rent
RENT TRANSFER,Housing & Rent
RENT@UPI,Housing & Rent
SOCIETY MAINTENANCE,Housing & Rent
MAINTENANCE CHARGES,Housing & Rent
SECURITY DEPOSIT,Housing & Rent
ADVANCE RENT,Housing & Rent
LANDLORD PAYMENT,Housing & Rent
FLAT RENT,Housing & Rent
PG RENT,Housing & Rent
NOBROKER,Housing & Rent
MAGICBRICKS,Housing & Rent
HOUSING.COM,Housing & Rent
OWNER TRANSFER,Housing & Rent
PROPERTY RENT,Housing & Rent
ACCOMMODATION RENT,Housing & Rent
HOME RENT,Housing & Rent
RENTAL PAYMENT,Housing & Rent
HOUSING RENT NEFT,Housing & Rent
IMPS HOUSE RENT,Housing & Rent
ELECTRICITY BILL,Utilities
BESCOM,Utilities
MSEDCL,Utilities
TATA POWER,Utilities
WATER BILL,Utilities
MOBILE RECHARGE,Utilities
