id,module_id,account_name,account_type,balance_nature,is_system_generated,parent_template_id
1,1,Current Assets,ASSET,Debit,TRUE,
2,1,Cash and equivalents,ASSET,Debit,TRUE,1
3,1,Bank Accounts,ASSET,Debit,TRUE,2
4,1,Current Liabilities,LIABILITY,Credit,TRUE,
5,1,Credit Cards,LIABILITY,Credit,TRUE,4
6,1,Opening Balance Equity,EQUITY,Credit,TRUE,
7,1,General Income,INCOME,Credit,TRUE,
8,1,Living Expenses,EXPENSE,Debit,TRUE,
9,1,Food & Dining,EXPENSE,Debit,FALSE,8
10,1,Travel & Transport,EXPENSE,Debit,FALSE,8
11,1,Housing & Rent,EXPENSE,Debit,FALSE,8
12,1,Utilities,EXPENSE,Debit,FALSE,8
13,1,Personal Care,EXPENSE,Debit,FALSE,8
14,2,Employment Income,INCOME,Credit,TRUE,
15,2,Base Salary,INCOME,Credit,FALSE,14
16,2,Bonus & Incentives,INCOME,Credit,FALSE,14
17,2,Overtime Pay,INCOME,Credit,FALSE,14
18,2,Taxes & Statutory Deductions,EXPENSE,Debit,TRUE,
19,2,Income Tax (TDS),EXPENSE,Debit,FALSE,18
20,2,Professional Tax,EXPENSE,Debit,FALSE,18
21,2,Retirement Accounts,ASSET,Debit,TRUE,1
22,2,Employee Provident Fund (EPF),ASSET,Debit,FALSE,21
23,2,Voluntary Provident Fund (VPF),ASSET,Debit,FALSE,21
24,2,Professional Development,EXPENSE,Debit,FALSE,8
25,2,Work-related Subscriptions,EXPENSE,Debit,FALSE,24
